lat,lon,flood_heig,elevation,precipitat,elevation_bin,precip_bin,flood_risk_index
14.64039374,121.0557085,0,54.5532951355,9.0,Very High,Low,0.834527536475526
14.69829935,121.0021322,0,21.8562717438,10.0,Moderate,Low,1.2381923002573103
14.69885841,121.1002614,0,69.322807312,16.0,Very High,High,1.0070321155439963
14.57131006,120.9833345,0,10.9872407913,8.0,Low,Low,1.2613096853673182
14.7622323,121.0757349,0,87.8898468018,18.0,Very High,High,0.9000892723837124
14.6011784,121.0885987,0,14.4637336731,11.0,Low,Moderate,1.3663104648788806
14.70803089,121.052674,0,45.0005531311,12.0,High,Moderate,1.0814067741738107
14.70920612,121.0502922,0,43.226852417,13.0,High,Moderate,1.1483400735351257
14.70962531,121.0470059,0,43.1831130981,12.0,High,Moderate,1.1011973138318205
14.66933825,121.1328981,0,48.2762107849,17.0,High,High,1.2838325918059241
14.72701256,121.0465953,0,53.3076515198,13.0,Very High,Moderate,1.0385678385199895
14.6467477,121.0628002,0,62.1015319824,10.0,Very High,Low,0.7999520258399931
14.685377,121.097061,0,82.2314758301,15.0,Very High,Moderate,0.8188474857869433
14.39827,121.027496,0,37.0790176392,10.0,High,Low,1.0724281755123375
14.630796,121.072151,0,52.1958312988,10.0,Very High,Low,0.9078175722457053
14.630796,121.072144,0,52.1958312988,10.0,Very High,Low,0.9078175722457053
14.630767,121.072205,0,52.1958312988,10.0,Very High,Low,0.9078175722457053
14.732137,121.05455,0,69.5092391968,14.0,Very High,Moderate,0.9097639188760553
14.61853,121.058342,0,51.159576416,9.0,Very High,Low,0.8714825521497047
14.636256,121.082314,0,36.8361244202,11.0,High,Moderate,1.1226921455475303
14.636267,121.082298,0,36.8361244202,11.0,High,Moderate,1.1226921455475303
14.655506,121.086761,0,38.0961227417,12.0,High,Moderate,1.1565907697699882
14.620814,121.04863,0,41.8438415527,9.0,High,Low,0.9729238194862229
14.625777,121.010796,0,14.0821800232,8.0,Low,Low,1.227608151068581
14.627915,121.013458,0,17.3416099548,8.0,Moderate,Low,1.1921154381577974
14.630739,121.01638,0,15.0720682144,8.0,Moderate,Low,1.2168290215516628
14.632337,121.01889,0,18.1897277832,8.0,Moderate,Low,1.1828800800646289
14.633064,121.020218,0,20.2778568268,8.0,Moderate,Low,1.1601419429607631
14.632171,121.020737,0,21.9754295349,8.0,Moderate,Low,1.141656667302698
14.628372,121.033974,0,31.1722774506,8.0,High,Low,1.041509988402979
14.626919,121.033798,0,30.3964977264,8.0,High,Low,1.0499576395600394
14.621645,121.024658,0,23.3781356812,8.0,Moderate,Low,1.12638226423419
